param_name,sp0_mean_TL,sp1_mean_TL,sp2_mean_TL,sp3_mean_TL,sp4_mean_TL,sp5_mean_TL,sp6_mean_TL,sp7_mean_TL,sp8_mean_TL,sp9_mean_TL,sp10_mean_TL,sp11_mean_TL,sp12_mean_TL,sp13_mean_TL,sp14_mean_TL,sp15_mean_TL
mortality.additional.larva.rate.sp14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mortality.additional.larva.rate.sp15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
mortality.additional.larva.rate.mean.sp7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mortality.additional.larva.rate.mean.sp8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species.linf.sp0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
species.linf.sp1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species.linf.sp2,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
species.linf.sp3,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0
species.linf.sp4,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1
species.linf.sp5,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
species.linf.sp6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
species.linf.sp7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
species.linf.sp8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species.linf.sp9,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
species.linf.sp10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
species.linf.sp11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
species.linf.sp12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species.linf.sp13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
species.linf.sp14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
species.linf.sp15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
species.maturity.size.ratio.sp0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
species.maturity.size.ratio.sp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species.maturity.size.ratio.sp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species.maturity.size.ratio.sp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species.maturity.size.ratio.sp4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
species.maturity.size.ratio.sp5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species.maturity.size.ratio.sp6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species.maturity.size.ratio.sp7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species.maturity.size.ratio.sp8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species.maturity.size.ratio.sp9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species.maturity.size.ratio.sp10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species.maturity.size.ratio.sp11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
