"","lesserSpottedDogfish...0.45","lesserSpottedDogfish","redMullet...0.25","redMullet","pouting...0.25","pouting","whiting...0.25","whiting","poorCod...0.25","poorCod","cod...0.4","cod","dragonet...0.25","dragonet","sole...0.15","sole","plaice...0.25","plaice","horseMackerel","mackerel","herring...0.15","herring","sardine...0.15","sardine","squids...0.125","squids","cuttlefish","thornbackRay"
"dragonet ",0.72,0.371071925183405,1.05586145276474e-10,0.801164905474661,9.80827388997734e-11,0.416623857658198,9.41470756244044e-11,0.382280973362493,9.68850705188204e-11,0.366309434685877,9.41470756244044e-11,0.405068153247409,1.02602255961665e-10,0.823944049817205,1.00935191156582e-10,0.83601193481325,1.05586145276474e-10,0.83601193481325,1.00935191156582e-10,1.0865681236589e-10,1.02602255961665e-10,9.41470756244044e-11,9.53108976150479e-11,1.0387059872202e-10,0.72,1.06891374110865e-10,0.749166409749905,0.411659400835783
"sole < 0.15 ",9.97026920611315e-11,0.393616705406303,0.72,1.0387059872202e-10,0.77623887003132,0.366309434685877,0.749166409749905,0.377460962057453,0.736917846630934,0.36,0.790746276520951,0.382280973362493,0.814442563537357,9.41470756244044e-11,0.72,1.06891374110865e-10,0.77623887003132,9.14864571100749e-11,0.823944049817205,0.801164905474661,0.855518844199372,0.790746276520951,0.83601193481325,0.844619669906894,1.02602255961665e-10,0.736917846630934,1.0865681236589e-10,0.36
"sole ",0.72,0.411659400835783,9.53108976150479e-11,0.83601193481325,9.80827388997734e-11,0.366309434685877,9.53108976150479e-11,0.416623857658198,1.00935191156582e-10,0.371071925183405,9.26173892173644e-11,0.428271910334518,1.00935191156582e-10,0.749166409749905,9.53108976150479e-11,0.863270123353186,1.0865681236589e-10,0.790746276520951,1.0387059872202e-10,9.80827388997734e-11,1.02602255961665e-10,9.68850705188204e-11,9.80827388997734e-11,9.80827388997734e-11,0.801164905474661,1.0865681236589e-10,0.77623887003132,0.393616705406303
"plaice < 0.25 ",9.97026920611315e-11,0.371071925183405,0.72,9.26173892173644e-11,0.77623887003132,0.382280973362493,0.844619669906894,0.400146944824631,0.801164905474661,0.377460962057453,0.823944049817205,0.36,0.844619669906894,9.00000000009002e-11,0.814442563537357,9.68850705188204e-11,0.823944049817205,1.0865681236589e-10,0.873057681099638,0.823944049817205,0.873057681099638,0.823944049817205,0.72,0.873057681099638,9.68850705188204e-11,0.77623887003132,9.00000000009002e-11,0.393616705406303
"plaice ",0.83601193481325,0.423269360791518,9.41470756244044e-11,0.83601193481325,9.68850705188204e-11,0.405068153247409,1.06891374110865e-10,0.388743714019118,1.02602255961665e-10,0.366309434685877,1.00935191156582e-10,0.388743714019118,9.97026920611315e-11,0.749166409749905,1.05586145276474e-10,0.863270123353186,1.02602255961665e-10,0.823944049817205,9.26173892173644e-11,1.06891374110865e-10,9.68850705188204e-11,1.02602255961665e-10,9.14864571100749e-11,1.06891374110865e-10,0.844619669906894,9.97026920611315e-11,0.736917846630934,0.405068153247409
"horseMackerel",9.68850705188204e-11,0.428271910334518,0.790746276520951,9.14864571100749e-11,0.764897429401397,0.405068153247409,0.749166409749905,0.393616705406303,0.855518844199372,0.428271910334518,0.83601193481325,0.423269360791518,0.863270123353186,1.02602255961665e-10,0.844619669906894,9.26173892173644e-11,0.855518844199372,9.14864571100749e-11,0.736917846630934,0.823944049817205,0.72,0.873057681099638,0.814442563537357,0.77623887003132,1.02602255961665e-10,0.72,1.06891374110865e-10,0.36
"mackerel",9.80827388997734e-11,0.423269360791518,0.855518844199372,9.26173892173644e-11,0.823944049817205,0.405068153247409,0.72,0.416623857658198,0.764897429401397,0.371071925183405,0.83601193481325,0.393616705406303,0.77623887003132,9.97026920611315e-11,0.844619669906894,9.26173892173644e-11,0.801164905474661,9.80827388997734e-11,0.77623887003132,0.83601193481325,0.814442563537357,0.814442563537357,0.855518844199372,0.72,1.00935191156582e-10,0.823944049817205,9.53108976150479e-11,0.428271910334518
"herring < 0.15",9.53108976150479e-11,0.434964680228153,0.764897429401397,9.26173892173644e-11,0.77623887003132,0.434964680228153,0.801164905474661,0.411659400835783,0.801164905474661,0.434964680228153,0.844619669906894,0.366309434685877,0.814442563537357,1.00935191156582e-10,0.83601193481325,1.0865681236589e-10,0.844619669906894,1.00935191156582e-10,0.823944049817205,0.873057681099638,0.844619669906894,0.873057681099638,0.72,0.72,9.14864571100749e-11,0.844619669906894,1.0387059872202e-10,0.371071925183405
"herring",1.0387059872202e-10,0.423269360791518,0.814442563537357,9.26173892173644e-11,0.764897429401397,0.366309434685877,0.72,0.423269360791518,0.873057681099638,0.366309434685877,0.823944049817205,0.366309434685877,0.801164905474661,1.05586145276474e-10,0.814442563537357,1.0865681236589e-10,0.736917846630934,9.41470756244044e-11,0.790746276520951,0.863270123353186,0.844619669906894,0.855518844199372,0.83601193481325,0.801164905474661,9.26173892173644e-11,0.736917846630934,9.00000000009002e-11,0.371071925183405
"sardine < 0.15",1.00935191156582e-10,0.423269360791518,0.72,9.41470756244044e-11,0.736917846630934,0.393616705406303,0.749166409749905,0.428271910334518,0.72,0.416623857658198,0.801164905474661,0.377460962057453,0.855518844199372,1.0387059872202e-10,0.72,9.53108976150479e-11,0.814442563537357,1.0865681236589e-10,0.873057681099638,0.863270123353186,0.873057681099638,0.736917846630934,0.855518844199372,0.863270123353186,9.14864571100749e-11,0.814442563537357,9.80827388997734e-11,0.428271910334518
