predation.accessibility.sardine.stage0.prey.sp6.stage0,gs,0.8,logit
predation.accessibility.sardine.stage0.prey.sp6.stage1,gs,0,logit
predation.accessibility.sardine.stage0.prey.sp7.stage0,gs,0.8,logit
predation.accessibility.sardine.stage0.prey.sp7.stage1,gs,0,logit
predation.accessibility.sardine.stage0.prey.sp8.stage0,gs,0.8,logit
predation.accessibility.sardine.stage0.prey.sp8.stage1,gs,0,logit
predation.accessibility.sardine.stage0.prey.sp9.stage0,gs,0.8,logit
predation.accessibility.sardine.stage0.prey.sp10.stage0,gs,0.8,logit
predation.accessibility.sardine.stage0.prey.sp11.stage0,gs,0.8,logit
predation.accessibility.sardine.stage0.prey.sp11.stage1,gs,0.8,logit
predation.accessibility.sardine.stage0.prey.sp12.stage0,gs,0.8,logit
predation.accessibility.sardine.stage0.prey.sp12.stage1,gs,0.8,logit
predation.accessibility.sardine.stage0.prey.sp13.stage0,gs,0,logit
predation.accessibility.sardine.stage0.prey.sp13.stage1,gs,0.8,logit
predation.accessibility.sardine.stage0.prey.sp14.stage0,gs,0,logit
predation.accessibility.sardine.stage0.prey.sp15.stage0,gs,0,logit
predation.accessibility.sardine.stage1.prey.sp0.stage0,gs,0,logit
predation.accessibility.sardine.stage1.prey.sp0.stage1,gs,0.4,logit
predation.accessibility.sardine.stage1.prey.sp1.stage0,gs,0.8,logit
predation.accessibility.sardine.stage1.prey.sp1.stage1,gs,0,logit
predation.accessibility.sardine.stage1.prey.sp2.stage0,gs,0.8,logit
predation.accessibility.sardine.stage1.prey.sp2.stage1,gs,0.4,logit
predation.accessibility.sardine.stage1.prey.sp3.stage0,gs,0.8,logit
predation.accessibility.sardine.stage1.prey.sp3.stage1,gs,0.4,logit
predation.accessibility.sardine.stage1.prey.sp4.stage0,gs,0.8,logit
predation.accessibility.sardine.stage1.prey.sp4.stage1,gs,0.4,logit
predation.accessibility.sardine.stage1.prey.sp5.stage0,gs,0.8,logit
predation.accessibility.sardine.stage1.prey.sp5.stage1,gs,0.4,logit
predation.accessibility.sardine.stage1.prey.sp6.stage0,gs,0.8,logit
predation.accessibility.sardine.stage1.prey.sp6.stage1,gs,0,logit
predation.accessibility.sardine.stage1.prey.sp7.stage0,gs,0.8,logit
predation.accessibility.sardine.stage1.prey.sp7.stage1,gs,0,logit
predation.accessibility.sardine.stage1.prey.sp8.stage0,gs,0.8,logit
predation.accessibility.sardine.stage1.prey.sp8.stage1,gs,0,logit
predation.accessibility.sardine.stage1.prey.sp9.stage0,gs,0.8,logit
predation.accessibility.sardine.stage1.prey.sp10.stage0,gs,0.8,logit
predation.accessibility.sardine.stage1.prey.sp11.stage0,gs,0.8,logit
predation.accessibility.sardine.stage1.prey.sp11.stage1,gs,0.8,logit
predation.accessibility.sardine.stage1.prey.sp12.stage0,gs,0.8,logit
predation.accessibility.sardine.stage1.prey.sp12.stage1,gs,0.8,logit
predation.accessibility.sardine.stage1.prey.sp13.stage0,gs,0,logit
predation.accessibility.sardine.stage1.prey.sp13.stage1,gs,0.8,logit
predation.accessibility.sardine.stage1.prey.sp14.stage0,gs,0,logit
predation.accessibility.sardine.stage1.prey.sp15.stage0,gs,0,logit
predation.predPrey.sizeRatio.theta.sp12.stage0,gs,gs,logit
predation.predPrey.sizeRatio.theta.sp12.stage0,gs,gs,logit
mortality.starvation.rate.max.sp12,gs,gs,log
species.vonbertalanffy.threshold.age.sp12,gs,gs,logit
species.egg.size.sp12,er,er,log
predation.efficiency.critical.sp12,er,er,logit
predation.ingestion.rate.max.sp12,er,er,log
mortality.natural.rate.sp12,mc,mc,log
mortality.natural.larva.rate.Lx.sp12,mc,mc,log
species.sexratio.sp12,hqd,hqd,logit
species.l0.sp12,hqd,hqd,logit
species.K.sp12,hqd,hqd,log
species.lInf.sp12,hqd,hqd,log
species.maturity.size.sp12,hqd,hqd,logit
species.length2weight.condition.factor.sp12,hqd,hqd,log
parameter,hierarchy,value,scale
predation.accessibility.squids.stage0.prey.sp0.stage0,gs,0.05,logit
predation.accessibility.squids.stage0.prey.sp0.stage1,gs,0,logit
predation.accessibility.squids.stage0.prey.sp1.stage0,gs,0,logit
predation.accessibility.squids.stage0.prey.sp1.stage1,gs,0.8,logit
predation.accessibility.squids.stage0.prey.sp2.stage0,gs,0,logit
predation.accessibility.squids.stage0.prey.sp2.stage1,gs,0,logit
predation.accessibility.squids.stage0.prey.sp3.stage0,gs,0,logit
predation.accessibility.squids.stage0.prey.sp3.stage1,gs,0,logit
predation.accessibility.squids.stage0.prey.sp4.stage0,gs,0,logit
predation.accessibility.squids.stage0.prey.sp4.stage1,gs,0,logit
predation.accessibility.squids.stage0.prey.sp5.stage0,gs,0,logit
predation.accessibility.squids.stage0.prey.sp5.stage1,gs,0,logit
predation.accessibility.squids.stage0.prey.sp6.stage0,gs,0,logit
predation.accessibility.squids.stage0.prey.sp6.stage1,gs,0.8,logit
predation.accessibility.squids.stage0.prey.sp7.stage0,gs,0,logit
predation.accessibility.squids.stage0.prey.sp7.stage1,gs,0.8,logit
predation.accessibility.squids.stage0.prey.sp8.stage0,gs,0,logit
predation.accessibility.squids.stage0.prey.sp8.stage1,gs,0.8,logit
predation.accessibility.squids.stage0.prey.sp9.stage0,gs,0,logit
predation.accessibility.squids.stage0.prey.sp10.stage0,gs,0,logit
predation.accessibility.squids.stage0.prey.sp11.stage0,gs,0,logit
predation.accessibility.squids.stage0.prey.sp11.stage1,gs,0,logit
predation.accessibility.squids.stage0.prey.sp12.stage0,gs,0,logit
predation.accessibility.squids.stage0.prey.sp12.stage1,gs,0,logit
predation.accessibility.squids.stage0.prey.sp13.stage0,gs,0.05,logit
predation.accessibility.squids.stage0.prey.sp13.stage1,gs,0,logit
predation.accessibility.squids.stage0.prey.sp14.stage0,gs,0.8,logit
predation.accessibility.squids.stage0.prey.sp15.stage0,gs,0.05,logit
predation.accessibility.squids.stage1.prey.sp0.stage0,gs,0,logit
predation.accessibility.squids.stage1.prey.sp0.stage1,gs,0.4,logit
predation.accessibility.squids.stage1.prey.sp1.stage0,gs,0.8,logit
predation.accessibility.squids.stage1.prey.sp1.stage1,gs,0,logit
predation.accessibility.squids.stage1.prey.sp2.stage0,gs,0.8,logit
predation.accessibility.squids.stage1.prey.sp2.stage1,gs,0.4,logit
predation.accessibility.squids.stage1.prey.sp3.stage0,gs,0.8,logit
predation.accessibility.squids.stage1.prey.sp3.stage1,gs,0.4,logit
predation.accessibility.squids.stage1.prey.sp4.stage0,gs,0.8,logit
predation.accessibility.squids.stage1.prey.sp4.stage1,gs,0.4,logit
predation.accessibility.squids.stage1.prey.sp5.stage0,gs,0.8,logit
predation.accessibility.squids.stage1.prey.sp5.stage1,gs,0.4,logit
predation.accessibility.squids.stage1.prey.sp6.stage0,gs,0.8,logit
predation.accessibility.squids.stage1.prey.sp6.stage1,gs,0,logit
predation.accessibility.squids.stage1.prey.sp7.stage0,gs,0.8,logit
predation.accessibility.squids.stage1.prey.sp7.stage1,gs,0,logit
predation.accessibility.squids.stage1.prey.sp8.stage0,gs,0.8,logit
predation.accessibility.squids.stage1.prey.sp8.stage1,gs,0,logit
predation.accessibility.squids.stage1.prey.sp9.stage0,gs,0.8,logit
predation.accessibility.squids.stage1.prey.sp10.stage0,gs,0.8,logit
predation.accessibility.squids.stage1.prey.sp11.stage0,gs,0.8,logit
predation.accessibility.squids.stage1.prey.sp11.stage1,gs,0.8,logit
predation.accessibility.squids.stage1.prey.sp12.stage0,gs,0.8,logit
predation.accessibility.squids.stage1.prey.sp12.stage1,gs,0.8,logit
predation.accessibility.squids.stage1.prey.sp13.stage0,gs,0,logit
predation.accessibility.squids.stage1.prey.sp13.stage1,gs,0.8,logit
predation.accessibility.squids.stage1.prey.sp14.stage0,gs,0,logit
predation.accessibility.squids.stage1.prey.sp15.stage0,gs,0,logit
predation.predPrey.sizeRatio.theta.sp13.stage0,gs,gs,logit
predation.predPrey.sizeRatio.theta.sp13.stage0,gs,gs,logit
mortality.starvation.rate.max.sp13,gs,gs,log
species.vonbertalanffy.threshold.age.sp13,gs,gs,logit
species.egg.size.sp13,er,er,log
predation.efficiency.critical.sp13,er,er,logit
predation.ingestion.rate.max.sp13,er,er,log
mortality.natural.rate.sp13,mc,mc,log
mortality.natural.larva.rate.Lx.sp13,mc,mc,log
species.sexratio.sp13,hqd,hqd,logit
species.l0.sp13,hqd,hqd,logit
species.K.sp13,hqd,hqd,log
species.lInf.sp13,hqd,hqd,log
species.maturity.size.sp13,hqd,hqd,logit
species.length2weight.condition.factor.sp13,hqd,hqd,log
parameter,hierarchy,value,scale
predation.accessibility.cuttlefish.stage0.prey.sp0.stage0,gs,0.05,logit
predation.accessibility.cuttlefish.stage0.prey.sp0.stage1,gs,0,logit
predation.accessibility.cuttlefish.stage0.prey.sp1.stage0,gs,0,logit
predation.accessibility.cuttlefish.stage0.prey.sp1.stage1,gs,0.8,logit
predation.accessibility.cuttlefish.stage0.prey.sp2.stage0,gs,0,logit
predation.accessibility.cuttlefish.stage0.prey.sp2.stage1,gs,0,logit
predation.accessibility.cuttlefish.stage0.prey.sp3.stage0,gs,0,logit
predation.accessibility.cuttlefish.stage0.prey.sp3.stage1,gs,0,logit
predation.accessibility.cuttlefish.stage0.prey.sp4.stage0,gs,0,logit
predation.accessibility.cuttlefish.stage0.prey.sp4.stage1,gs,0,logit
predation.accessibility.cuttlefish.stage0.prey.sp5.stage0,gs,0,logit
predation.accessibility.cuttlefish.stage0.prey.sp5.stage1,gs,0,logit
predation.accessibility.cuttlefish.stage0.prey.sp6.stage0,gs,0,logit
predation.accessibility.cuttlefish.stage0.prey.sp6.stage1,gs,0.8,logit
predation.accessibility.cuttlefish.stage0.prey.sp7.stage0,gs,0,logit
predation.accessibility.cuttlefish.stage0.prey.sp7.stage1,gs,0.8,logit
predation.accessibility.cuttlefish.stage0.prey.sp8.stage0,gs,0,logit
predation.accessibility.cuttlefish.stage0.prey.sp8.stage1,gs,0.8,logit
predation.accessibility.cuttlefish.stage0.prey.sp9.stage0,gs,0,logit
predation.accessibility.cuttlefish.stage0.prey.sp10.stage0,gs,0,logit
predation.accessibility.cuttlefish.stage0.prey.sp11.stage0,gs,0,logit
predation.accessibility.cuttlefish.stage0.prey.sp11.stage1,gs,0,logit
predation.accessibility.cuttlefish.stage0.prey.sp12.stage0,gs,0,logit
predation.accessibility.cuttlefish.stage0.prey.sp12.stage1,gs,0,logit
predation.accessibility.cuttlefish.stage0.prey.sp13.stage0,gs,0.05,logit
predation.accessibility.cuttlefish.stage0.prey.sp13.stage1,gs,0,logit
predation.accessibility.cuttlefish.stage0.prey.sp14.stage0,gs,0.8,logit
predation.accessibility.cuttlefish.stage0.prey.sp15.stage0,gs,0.8,logit
predation.predPrey.sizeRatio.theta.sp14.stage0,gs,gs,logit
predation.predPrey.sizeRatio.theta.sp14.stage0,gs,gs,logit
mortality.starvation.rate.max.sp14,gs,gs,log
species.vonbertalanffy.threshold.age.sp14,gs,gs,logit
species.egg.size.sp14,er,er,log
predation.efficiency.critical.sp14,er,er,logit
predation.ingestion.rate.max.sp14,er,er,log
mortality.natural.rate.sp14,mc,mc,log
mortality.natural.larva.rate.Lx.sp14,mc,mc,log
species.sexratio.sp14,hqd,hqd,logit
species.l0.sp14,hqd,hqd,logit
species.K.sp14,hqd,hqd,log
species.lInf.sp14,hqd,hqd,log
species.maturity.size.sp14,hqd,hqd,logit
species.length2weight.condition.factor.sp14,hqd,hqd,log
parameter,hierarchy,value,scale
predation.accessibility.thornbackRay.stage0.prey.sp0.stage0,gs,0,logit
predation.accessibility.thornbackRay.stage0.prey.sp0.stage1,gs,0,logit
predation.accessibility.thornbackRay.stage0.prey.sp1.stage0,gs,0.4,logit
predation.accessibility.thornbackRay.stage0.prey.sp1.stage1,gs,0.4,logit
predation.accessibility.thornbackRay.stage0.prey.sp2.stage0,gs,0.4,logit
predation.accessibility.thornbackRay.stage0.prey.sp2.stage1,gs,0.8,logit
predation.accessibility.thornbackRay.stage0.prey.sp3.stage0,gs,0.4,logit
predation.accessibility.thornbackRay.stage0.prey.sp3.stage1,gs,0.8,logit
predation.accessibility.thornbackRay.stage0.prey.sp4.stage0,gs,0.4,logit
predation.accessibility.thornbackRay.stage0.prey.sp4.stage1,gs,0.8,logit
predation.accessibility.thornbackRay.stage0.prey.sp5.stage0,gs,0.4,logit
predation.accessibility.thornbackRay.stage0.prey.sp5.stage1,gs,0.8,logit
predation.accessibility.thornbackRay.stage0.prey.sp6.stage0,gs,0.4,logit
predation.accessibility.thornbackRay.stage0.prey.sp6.stage1,gs,0.4,logit
predation.accessibility.thornbackRay.stage0.prey.sp7.stage0,gs,0.4,logit
predation.accessibility.thornbackRay.stage0.prey.sp7.stage1,gs,0.4,logit
predation.accessibility.thornbackRay.stage0.prey.sp8.stage0,gs,0.4,logit
predation.accessibility.thornbackRay.stage0.prey.sp8.stage1,gs,0.4,logit
predation.accessibility.thornbackRay.stage0.prey.sp9.stage0,gs,0.4,logit
predation.accessibility.thornbackRay.stage0.prey.sp10.stage0,gs,0.4,logit
predation.accessibility.thornbackRay.stage0.prey.sp11.stage0,gs,0.4,logit
predation.accessibility.thornbackRay.stage0.prey.sp11.stage1,gs,0.4,logit
predation.accessibility.thornbackRay.stage0.prey.sp12.stage0,gs,0.4,logit
predation.accessibility.thornbackRay.stage0.prey.sp12.stage1,gs,0.4,logit
predation.accessibility.thornbackRay.stage0.prey.sp13.stage0,gs,0,logit
predation.accessibility.thornbackRay.stage0.prey.sp13.stage1,gs,0.4,logit
predation.accessibility.thornbackRay.stage0.prey.sp14.stage0,gs,0.8,logit
predation.accessibility.thornbackRay.stage0.prey.sp15.stage0,gs,0.8,logit
predation.predPrey.sizeRatio.theta.sp15.stage0,gs,gs,logit
predation.predPrey.sizeRatio.theta.sp15.stage0,gs,gs,logit
mortality.starvation.rate.max.sp15,gs,gs,log
species.vonbertalanffy.threshold.age.sp15,gs,gs,logit
species.egg.size.sp15,er,er,log
predation.efficiency.critical.sp15,er,er,logit
predation.ingestion.rate.max.sp15,er,er,log
mortality.natural.rate.sp15,mc,mc,log
mortality.natural.larva.rate.Lx.sp15,mc,mc,log
species.sexratio.sp15,hqd,hqd,logit
species.l0.sp15,hqd,hqd,logit
species.K.sp15,hqd,hqd,log
species.lInf.sp15,hqd,hqd,log
species.maturity.size.sp15,hqd,hqd,logit
species.length2weight.condition.factor.sp15,hqd,hqd,log
