predation.accessibility.whiting.stage1.prey.sp4.stage0,gs,0.4,logit
predation.accessibility.whiting.stage1.prey.sp4.stage1,gs,0.8,logit
predation.accessibility.whiting.stage1.prey.sp5.stage0,gs,0.4,logit
predation.accessibility.whiting.stage1.prey.sp5.stage1,gs,0.8,logit
predation.accessibility.whiting.stage1.prey.sp6.stage0,gs,0.4,logit
predation.accessibility.whiting.stage1.prey.sp6.stage1,gs,0.4,logit
predation.accessibility.whiting.stage1.prey.sp7.stage0,gs,0.4,logit
predation.accessibility.whiting.stage1.prey.sp7.stage1,gs,0.4,logit
predation.accessibility.whiting.stage1.prey.sp8.stage0,gs,0.4,logit
predation.accessibility.whiting.stage1.prey.sp8.stage1,gs,0.4,logit
predation.accessibility.whiting.stage1.prey.sp9.stage0,gs,0.4,logit
predation.accessibility.whiting.stage1.prey.sp10.stage0,gs,0.4,logit
predation.accessibility.whiting.stage1.prey.sp11.stage0,gs,0.4,logit
predation.accessibility.whiting.stage1.prey.sp11.stage1,gs,0.4,logit
predation.accessibility.whiting.stage1.prey.sp12.stage0,gs,0.4,logit
predation.accessibility.whiting.stage1.prey.sp12.stage1,gs,0.4,logit
predation.accessibility.whiting.stage1.prey.sp13.stage0,gs,0,logit
predation.accessibility.whiting.stage1.prey.sp13.stage1,gs,0.4,logit
predation.accessibility.whiting.stage1.prey.sp14.stage0,gs,0.8,logit
predation.accessibility.whiting.stage1.prey.sp15.stage0,gs,0,logit
predation.predPrey.sizeRatio.theta.sp3.stage0,gs,gs,logit
predation.predPrey.sizeRatio.theta.sp3.stage0,gs,gs,logit
mortality.starvation.rate.max.sp3,gs,gs,log
species.vonbertalanffy.threshold.age.sp3,gs,gs,logit
species.egg.size.sp3,er,er,log
predation.efficiency.critical.sp3,er,er,logit
predation.ingestion.rate.max.sp3,er,er,log
mortality.natural.rate.sp3,mc,mc,log
mortality.natural.larva.rate.Lx.sp3,mc,mc,log
species.sexratio.sp3,hqd,hqd,logit
species.l0.sp3,hqd,hqd,logit
species.K.sp3,hqd,hqd,log
species.lInf.sp3,hqd,hqd,log
species.maturity.size.sp3,hqd,hqd,logit
species.length2weight.condition.factor.sp3,hqd,hqd,log
parameter,hierarchy,value,scale
predation.accessibility.poorCod.stage0.prey.sp0.stage0,gs,0,logit
predation.accessibility.poorCod.stage0.prey.sp0.stage1,gs,0.4,logit
predation.accessibility.poorCod.stage0.prey.sp1.stage0,gs,0.8,logit
predation.accessibility.poorCod.stage0.prey.sp1.stage1,gs,0,logit
predation.accessibility.poorCod.stage0.prey.sp2.stage0,gs,0.8,logit
predation.accessibility.poorCod.stage0.prey.sp2.stage1,gs,0.4,logit
predation.accessibility.poorCod.stage0.prey.sp3.stage0,gs,0.8,logit
predation.accessibility.poorCod.stage0.prey.sp3.stage1,gs,0.4,logit
predation.accessibility.poorCod.stage0.prey.sp4.stage0,gs,0.8,logit
predation.accessibility.poorCod.stage0.prey.sp4.stage1,gs,0.4,logit
predation.accessibility.poorCod.stage0.prey.sp5.stage0,gs,0.8,logit
predation.accessibility.poorCod.stage0.prey.sp5.stage1,gs,0.4,logit
predation.accessibility.poorCod.stage0.prey.sp6.stage0,gs,0.8,logit
predation.accessibility.poorCod.stage0.prey.sp6.stage1,gs,0,logit
predation.accessibility.poorCod.stage0.prey.sp7.stage0,gs,0.8,logit
predation.accessibility.poorCod.stage0.prey.sp7.stage1,gs,0,logit
predation.accessibility.poorCod.stage0.prey.sp8.stage0,gs,0.8,logit
